type,name,address,coordinates
AION,广汽埃安上海星品宝黎环球港商超展示中心,由上海市普陀区中山北路3300号上海环球港B1层变更至上海市普陀区中山北路3300号上海环球港4层,"121.419129,31.239446"
AION,广汽埃安上海君和体验中心, 上海市普陀区金昌路1858号,"121.350176,31.281833"
AION,广汽埃安上海长岚展示中心,上海市闵行区沪青平公路415-433号,"121.351297,31.181892"
AION,广汽埃安上海晋熙万泰商超展示中心,上海市虹口区广灵二路259号（万泰广场）,"121.481949,31.289677"
AION,广汽埃安上海星品宝黎百联南方商超展示中心,上海市闵行区沪闵路7250号百联南方购物中心2区1F-002号,"121.406909,31.137936"
AION,广汽埃安上海弘仁宝裕体验中心, 上海市宝山区江杨南路1505号,"121.473604,31.340726"
AION,广汽埃安上海君和五角场万达商超展示中心,上海市杨浦区淞沪路77号五角场万达广场,"121.519349,31.307215"
AION,广汽埃安上海星品宝黎体验中心,上海市闵行区黎安路1399弄18号,"121.358744,31.126661"
AION,广汽埃安上海炜业龙阳体验中心,上海市浦东新区龙阳路1277号,"121.541508,31.204275"
AION,广汽埃安上海劲立徐汇华泾天街商场展示中心,上海市徐汇区华泾路459号L102龙湖上海华泾天街,"121.457453,31.125649"
AION,广汽埃安上海劲立体验中心, 上海市青浦区嘉松中路799弄26号,"121.220134,31.25382"
AION,广汽埃安上海劲立颛桥万达商超展示中心,上海市闵行区颛兴东路1570号（颛桥万达）,"121.412839,31.077149"
AION,广汽埃安上海成套体验中心, 上海市闵行区三鲁公路889号,"121.537869,31.040183"
AION,广汽埃安上海晋熙上海车市体验中心,上海市浦东新区沪南路4789弄311号,"121.595669,31.075394"
Beijing,上海吉绅汽车销售服务有限公司,上海市嘉定区江桥镇金园一路235号,"121.325308,31.267141"
R,R汽车 上海百联南方体验中心,上海市闵行区沪闵路7250号百联南方购物中心2区1F-024,"121.406464,31.136992"
R,R汽车 上海新天地体验中心,上海市黄浦区马当路347号,"121.481979,31.220373"
R,R汽车 上海南翔印象城体验中心,上海市嘉定区南翔镇陈翔公路2299号L1-21,"121.313179,31.310659"
R,R汽车 上海陆家嘴尚悦湾体验中心,上海市浦东新区银城路66号尚悦湾一层107a单元,"121.515961,31.246782"
R,R汽车 上海五角场万达广场体验中心,上海市杨浦区淞沪路77号五角场万达L1301室,"121.521301,31.305973"
R,R汽车 上海张江长泰广场体验中心,上海浦东金科路2889弄长泰广场6座D1-07A,"121.608261,31.210861"
R,R汽车 上海环球港体验中心,上海市普陀区中山北路3300号环球港B1150,"121.419388,31.239403"
R,R汽车 上海九亭金地广场体验中心,上海市松江区九亭镇沪亭北路99弄3号九亭金地广场L1-016,"121.325996,31.146124"
R,R汽车 上海虹口凯德龙之梦体验中心,上海市虹口区西江湾路388号A幢01-4041,"121.48481,31.276663"
R,R汽车 上海浦东新达汇三林体验中心,上海市浦东新区永泰路1058弄新达汇广场L1-111,"121.532585,31.147659"
R,R汽车 上海嘉定江桥万达体验中心,上海市嘉定区金沙江西路1051弄万达广场1F1109--1110铺位,"121.331749,31.247129"
R,R汽车 上海普陀百联中环体验中心,上海市普陀区真光路1288号 百联中环购物广场B区1楼,"121.389862,31.25198"
R,R汽车 上海松江万达广场体验中心,上海市松江区广富林路658号万达广场1楼1029号铺位,"121.249626,31.063519"
R,R汽车 上海龙湖宝山天街体验中心,上海市宝山区龙湖宝山天街丹霞山路50弄1号1F-60,"121.368271,31.364801"
R,R汽车 上海百联西郊体验中心,上海市长宁区仙霞西路88号西郊百联购物广场1楼1122号店铺,"121.3769,31.214516"
R,R汽车 上海奉贤万达广场体验中心(待开业),上海市奉贤区南桥镇沪杭公路1608号（上海奉贤万达广场1010商铺）,"121.454376,30.948105"
R,R汽车 上海青浦吾悦广场体验中心,上海市青浦区淀山湖大道218号吾悦广场一号门一楼038号,"121.101784,31.150621"
R,R汽车 龙湖上海闵行天街体验中心, R汽车龙湖上海闵行天街体验中心,"121.421432,31.031981"
JiHe,上海晋熙汽车销售服务有限公司,上海市浦东新区沪南公路4777弄258号,"121.594253,31.077434"
JiHe,上海弘仁星品汽车销售服务有限公司,上海市杨浦区军工路1601号,"121.532118,31.27991"
JiHe,上海明友泓浩汽车销售有限公司,上海市奉贤区南桥镇环城西路1488号,"121.446832,30.933954"
JiHe,上海天麦汽车销售服务有限公司,上海市静安区沪太路1111号,"121.432944,31.285993"
JiHe,上海浦之利汽车有限公司,上海市普陀区金沙江路2145号普罗娜广场B座一楼,"121.374283,31.2424"
JiHe,上海中隆汽车销售服务有限公司,上海闵行区中春路7169号,"121.351842,31.146194"
JiHe,上海吉庆新能源汽车销售有限公司,上海市松江区茸平路19号,"121.261108,31.040244"
