type,name,address,coordinates
BYD,比亚迪汽车上海卓景（星荟中心店）,上海市虹口区星荟中心天潼路360号L101-102室,"121.485476,31.246538"
BYD,比亚迪汽车吉庆（龙之梦店）,上海市虹口区西江湾路388号B01-22/23商铺,"121.477189,31.270968"
BYD,比亚迪汽车海洋网（徐汇正大乐城环态荣迪商超店）,上海市徐汇区中山南二路699号2幢105-108号,"121.45814,31.186395"
BYD,比亚迪汽车弘仁宝佳（环球港店）,上海市普陀区中山北路3300号室内1[L]层L1149号商铺,"121.4122,31.23152"
BYD,比亚迪汽车海洋网（虹口万泰君升宏迪商超店）,上海市虹口区广灵二路259号1025-1028,"121.475101,31.28371"
BYD,比亚迪汽车海洋网（浦东世博源华裕金耀商超店）,上海市浦东新区世博大道1368号四区一楼4L102-12,"121.492921,31.181712"
BYD,比亚迪汽车王朝网（君和升迪徐汇光启城商超店）,上海市徐汇区宜山路455号一层186、188、189、190、191、1102商铺,"121.428514,31.183919"
BYD,比亚迪汽车上海卓景（大融城店）,上海市静安区沪太路1111弄静安大融城【1】号楼【1】层【137】室,"121.426743,31.279943"
BYD,比亚迪汽车王朝网（联通昊蕴普陀绿地缤纷城商超店),上海市普陀区曹杨路2033号130A、130B、131A、131B、132A、132B室,"121.404015,31.256566"
BYD,,上海市浦东新区北艾路1760、1762、1764,"121.52239,31.179737"
BYD,比亚迪汽车弘仁宝佳（置汇旭辉广场店）,上海市浦东新区洋泾街道张杨路2389号旭辉广场S2-1F-02号商铺,"121.554535,31.243103"
BYD,比亚迪汽车上海卓景（五角场万达店）,上海市杨浦区国宾路58号五角场万达广场1层1135/1136室,"121.513631,31.301289"
BYD,比亚迪汽车王朝网（上海兴迪4S店）,上海市普陀区同普路1388号,"121.3672,31.23372"
BYD,比亚迪汽车王朝网（上海弘仁宝佳4S店）,上海市江杨南路980号,"121.466991,31.324647"
BYD,比亚迪汽车华裕（金桥国际店）,上海市浦东新区金桥国际商业广场张杨路3611弄7号111、112室,"121.57947,31.256033"
BYD,比亚迪汽车王朝网（华裕金迪浦东金桥国际商超店）,上海市浦东新区金桥国际商业广场张杨路3611弄7号111、112室,"121.579682,31.256002"
BYD,比亚迪汽车海洋网（上海弘仁4S店）,上海市杨浦区军工路1609号,"121.545364,31.314657"
BYD,比亚迪汽车海洋网（上海华裕启迪4S店）,上海市浦东新区康杉路118号1号楼一层101室，二层201室,"121.559229,31.156926"
BYD,比亚迪汽车海洋网（闵行万象城隆顺合城市展厅）,上海市闵行区虹莘路3999号万象城MT1栋1层03单元,"121.371479,31.170062"
BYD,比亚迪汽车王朝网（上海卓景4S店）,上海浦东新区居里路108号乙单元,"121.596259,31.21173"
BYD,比亚迪汽车王朝网（卓昇裕明宝山经纬汇商超店),上海市宝山区经地路99弄1幢3号1楼3217-3218号,"121.399066,31.325517"
BYD,比亚迪汽车彤新（徐汇华泾天街店）,上海市徐汇区华泾路459号A-1F-C10、A-1F-C11号,"121.455345,31.119205"
BYD,比亚迪汽车王朝网（上海君和4S店）,上海市普陀区金昌路1858号,"121.345751,31.2749"
BYD,比亚迪汽车王朝网（上海富林4S店）,上海市普陀区真陈路39号,"121.35326,31.29229"
BYD,比亚迪汽车吉庆（漫游城店）,上海市闵行区闵虹路8号【中庚漫游城】L103-SP,"121.39847,31.131163"
BYD,比亚迪汽车王朝网（上海联通新虹4S店）,上海闵行区北翟路2621号,"121.330964,31.222407"
BYD,比亚迪汽车王朝网（环态昊迪闵行宝龙城商超店）,上海市闵行区漕宝路3299弄16号一层M-S2-F1-003,"121.354724,31.158388"
BYD,比亚迪汽车王朝网（上海华帆旗开4S店）,上海市浦东新区浦东北路2190弄19号,"121.57883,31.318916"
BYD,比亚迪汽车王朝网（上海弘仁锐豪4S店）,上海市沪南公路3021号,"121.5738749,31.1390341"
BYD,比亚迪汽车上海兴迪（江桥万达店）,海市嘉定区金沙江西路1051弄1-100号【上海江桥万达】内购物中心【1F】层【1056，1057，1058】号商铺,"121.324531,31.2404"
BYD,比亚迪汽车华帆旗开（森兰花园城店）,上海市浦东新区启帆路517号1层（L105-6-7）号商铺,"121.591178,31.31309"
BYD,比亚迪汽车海洋网（上海华裕华耀4S店）,上海市浦东新区新金桥路999号,"121.623851,31.253563"
BYD,比亚迪汽车王朝网（上海彤新4S店）,上海市闵行区集心路188号,"121.413974,31.110072"
BYD,比亚迪汽车海洋网（上海原鸿4S店）,上海市闵行区集心路188号,"121.413206,31.108032"
BYD,比亚迪汽车王朝网（上海华裕4S店）,上海浦东金桥出口加工区金苏路238号,"121.62949,31.25609"
BYD,比亚迪汽车海洋网（上海华帆书豪4S店）,上海市宝山区水产路1508号7幢一层,"121.475322,31.377031"
BYD,比亚迪汽车王朝网（上海利港环态4S店）,上海市闵行区双柏路1333弄19号,"121.431487,31.086571"
BYD,比亚迪汽车海洋网（黎安路弘仁宝毅城市展厅）,上海市闵行区黎安路1399弄18号,"121.351695,31.121377"
BYD,比亚迪汽车王朝网（弘仁东神黎安路城市展厅）,上海市闵行区黎安路1399弄20号,"121.351607,31.121211"
BYD,比亚迪汽车海洋网（上海联通星诚4S店）,上海市闵行区江月路1059号2号楼B室,"121.520829,31.085776"
BYD,比亚迪汽车利港环态（宝龙广场店）,上海市宝山区同济路699号,"121.481142,31.396511"
BYD,比亚迪汽车海洋网（上海君升4S店）,上海市嘉定区浏翔公路1908号,"121.319655,31.333158"
BYD,比亚迪汽车海洋网（上海宇迪辉驰4S店）,上海市宝山区潘泾路1101号,"121.389802,31.383874"
BYD,比亚迪汽车海洋网（上海众深依旺4S店）,上海市松江区泗泾镇九干路50号5幢101、102、103室,"121.295148,31.126374"
BYD,比亚迪汽车王朝网（上海君和迪生4S店）,上海市浦东新区航头镇沪南路4789弄318号1-2层,"121.587794,31.070292"
BYD,比亚迪汽车海洋网（上海垒福4S店）,上海市嘉定区曹安公路4215号,"121.253788,31.275135"
BYD,比亚迪汽车王朝网（上海昕鑫4S店）,上海市宝山区月罗路2368号2幢,"121.353493,31.410862"
BYD,比亚迪汽车上海卓景（浦江万达店）,上海闵行区永跃路360号1057室,"121.511593,31.027091"
BYD,比亚迪汽车上海卓景（马桥万达店）,上海市闵行区富岩路121号1007室,"121.373459,31.023605"
BYD,比亚迪汽车海洋网（上海富林迪耀4S店）,上海市嘉定区沪宜公路4491号4幢,"121.227423,31.368491"
BYD,比亚迪汽车吉庆（松江万达店）,上海市松江区广富林路658号万达商场1007铺位,"121.242935,31.057546"
BYD,比亚迪汽车王朝网（上海众深4S店）,上海市青浦区盈港东路6655号,"121.17567,31.160785"
BYD,比亚迪汽车王朝网（上海联通4S店）,上海市嘉定区安驰路829号,"121.168615,31.282378"
BYD,比亚迪汽车王朝网（上海汇羿4S店）,上海市浦东新区宣桥镇沪南公路8615号,"121.6888,31.03631"
BYD,比亚迪汽车海洋网（上海汇建4S店）,上海市浦东新区沪南公路8615号,"121.68869,31.036256"
BYD,比亚迪汽车王朝网（上海吉庆4S店）,上海市松江区沪松路999号6幢104室,"121.257605,31.032691"
BYD,比亚迪汽车海洋网（上海顺迪4S店）,上海市松江区沪松路999号6幢103室,"121.256821,31.032761"
BYD,比亚迪汽车王朝网（上海联通宝亭4S店）,上海市奉贤区沪杭公路1095号A幢,"121.4457,30.958426"
BYD,比亚迪汽车海洋网（上海联通浦悦4S店）,上海市青浦区北青公路9665号,"121.124052,31.186656"
BYD,比亚迪汽车众深（万达茂店）,上海市青浦区淀山湖大道851号万达茂商场1F层A区1030号,"121.082797,31.133394"
BYD,比亚迪汽车海洋网（上海叶红4S店）,上海市金山区亭林镇亭卫公路6618-9号,"121.345715,30.848657"
BYD,比亚迪汽车王朝网（上海贸驰4S店）,上海市金山区亭卫公路2285号,"121.357782,30.781584"
BYD,比亚迪汽车贸驰（万达广场店）,上海市金山区龙皓路1088号1F层1009A,"121.334957,30.75429"
BYD,比亚迪汽车王朝网（洲迪金山万达商超店）,上海市金山区万达广场1F-1009A号,"121.335935,30.754151"
