type,name,address,coordinates
NeZha,上海普陀近铁广场直营店,上海市普陀区真北路818号北区一楼N-F1-01商铺,"121.381916601714,31.232581210368"
NeZha,上海浦东尚悦湾直营店,上海市浦东区银城路66号1楼109,"121.510417370197,31.24048316723"
NeZha,上海中柏汽车销售服务有限公司,上海市松江区荣乐西路860号新理想广场1F-76,"121.196870980378,31.016682878739"
NeZha,上海古轩汽车销售服务有限公司,上海市闵行区吴中路1588号爱琴海购物公园,"121.372717030117,31.174891889846"
NeZha,上海浦东沪南公路直营店,上海市浦东新区沪南公路4518号,"121.584114183107,31.083531492546"
NeZha,上海宝山江杨南路直营店,上海市宝山区江杨南路1685号,"121.467023006608,31.338313401928"
NeZha,上海闵行虹桥天地直营店,上海市闵行区绍虹路99号1层106室,"121.314659896897,31.193033817266"
NeZha,上海杨浦万达直营店,上海市国宾路58号万达广场B座1138号,"121.51330804612,31.301138875294"
NeZha,上海古道汽车销售服务有限公司,上海闵行区都会路2058号1栋,"121.418977905008,31.066319543733"
NeZha,上海英枫汽车销售服务有限公司,上海市金山区枫泾镇朱枫公路9135号,"121.012875963331,30.894266452245"
