type,name,address,coordinates
R,R汽车 上海百联南方体验中心,上海市闵行区沪闵路7250号百联南方购物中心2区1F-024,"121.399908276874,31.131173389393"
R,R汽车 上海新天地体验中心,上海市黄浦区马当路347号,"121.475439376419,31.214471961523"
R,R汽车 上海南翔印象城体验中心,上海市嘉定区南翔镇陈翔公路2299号L1-21,"121.306765381682,31.30438266328"
R,R汽车 上海陆家嘴尚悦湾体验中心,上海市浦东新区银城路66号尚悦湾一层107a单元,"121.50936212375,31.241099435789"
R,R汽车 上海五角场万达广场体验中心,上海市杨浦区淞沪路77号五角场万达L1301室,"121.514750394512,31.30023839886"
R,R汽车 上海张江长泰广场体验中心,上海浦东金科路2889弄长泰广场6座D1-07A,"121.601702079689,31.205069486654"
R,R汽车 上海环球港体验中心,上海市普陀区中山北路3300号环球港B1150,"121.412883019567,31.233343308892"
R,R汽车 上海九亭金地广场体验中心,上海市松江区九亭镇沪亭北路99弄3号九亭金地广场L1-016,"121.319589154963,31.139760063001"
R,R汽车 上海虹口凯德龙之梦体验中心,上海市虹口区西江湾路388号A幢01-4041,"121.478280985882,31.270818774229"
R,R汽车 上海浦东新达汇三林体验中心,上海市浦东新区永泰路1058弄新达汇广场L1-111,"121.526067656126,31.141733977684"
R,R汽车 上海嘉定江桥万达体验中心,上海市嘉定区金沙江西路1051弄万达广场1F1109--1110铺位,"121.325322739654,31.240774854703"
R,R汽车 上海普陀百联中环体验中心,上海市普陀区真光路1288号 百联中环购物广场B区1楼,"121.383256915355,31.246335597533"
R,R汽车 上海松江万达广场体验中心,上海市松江区广富林路658号万达广场1楼1029号铺位,"121.243084843619,31.057753708902"
R,R汽车 上海龙湖宝山天街体验中心,上海市宝山区龙湖宝山天街丹霞山路50弄1号1F-60,"121.361699660445,31.359005875977"
R,R汽车 上海百联西郊体验中心,上海市长宁区仙霞西路88号西郊百联购物广场1楼1122号店铺,"121.370309526494,31.208832014837"
R,R汽车 上海奉贤万达广场体验中心(待开业),上海市奉贤区南桥镇沪杭公路1608号（上海奉贤万达广场1010商铺）,"121.447976659033,30.941776001763"
R,R汽车 上海青浦吾悦广场体验中心,上海市青浦区淀山湖大道218号吾悦广场一号门一楼038号,"121.095353227894,31.144370044189"
R,R汽车 龙湖上海闵行天街体验中心, R汽车龙湖上海闵行天街体验中心,"121.414961791587,31.025888926096"
