type,name,address,coordinates
AION,广汽埃安上海星品宝黎环球港商超展示中心,由上海市普陀区中山北路3300号上海环球港B1层变更至上海市普陀区中山北路3300号上海环球港4层,"121.412622764546,31.233391222976"
AION,广汽埃安上海君和体验中心, 上海市普陀区金昌路1858号,"121.343720499029,31.275719110262"
AION,广汽埃安上海长岚展示中心,上海市闵行区沪青平公路415-433号,"121.344840446204,31.175799590546"
AION,广汽埃安上海晋熙万泰商超展示中心,上海市虹口区广灵二路259号（万泰广场）,"121.47544097758,31.283784138339"
AION,广汽埃安上海星品宝黎百联南方商超展示中心,上海市闵行区沪闵路7250号百联南方购物中心2区1F-002号,"121.400356039847,31.132110186757"
AION,广汽埃安上海弘仁宝裕体验中心, 上海市宝山区江杨南路1505号,"121.467104743736,31.334667489683"
AION,广汽埃安上海君和五角场万达商超展示中心,上海市杨浦区淞沪路77号五角场万达广场,"121.512791343282,31.301504892282"
AION,广汽埃安上海星品宝黎体验中心,上海市闵行区黎安路1399弄18号,"121.352216780298,31.120698940372"
AION,广汽埃安上海炜业龙阳体验中心,上海市浦东新区龙阳路1277号,"121.535034231591,31.198180470256"
AION,广汽埃安上海劲立徐汇华泾天街商场展示中心,上海市徐汇区华泾路459号L102龙湖上海华泾天街,"121.451014155895,31.119339192969"
AION,广汽埃安上海劲立体验中心, 上海市青浦区嘉松中路799弄26号,"121.213692909175,31.247542855212"
AION,广汽埃安上海劲立颛桥万达商超展示中心,上海市闵行区颛兴东路1570号（颛桥万达）,"121.406329798023,31.071220751344"
AION,广汽埃安上海成套体验中心, 上海市闵行区三鲁公路889号,"121.531388851726,31.034159844503"
AION,广汽埃安上海晋熙上海车市体验中心,上海市浦东新区沪南路4789弄311号,"121.58918321289,31.069381010403"
Beijing,上海吉绅汽车销售服务有限公司,上海市嘉定区江桥镇金园一路235号,"121.3189024168,31.260777847152"
R,R汽车 上海百联南方体验中心,上海市闵行区沪闵路7250号百联南方购物中心2区1F-024,"121.399908276874,31.131173389393"
R,R汽车 上海新天地体验中心,上海市黄浦区马当路347号,"121.475439376419,31.214471961523"
